epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4371.46,0.76932,0.51379,0.95248,0.99142,1,0.995,0.83761,0.66664,0.46822,0.92007,0.000973861,0.000973861,0.000973861
44,4457.59,0.72548,0.52721,0.94679,0.99192,1,0.995,0.81375,0.64251,0.45775,0.92188,0.000957358,0.000957358,0.000957358
45,4543.31,0.70223,0.49411,0.92358,0.99072,1,0.995,0.84635,0.59416,0.45512,0.9044,0.000940855,0.000940855,0.000940855
46,4631.44,0.76531,0.52695,0.95973,0.99131,1,0.995,0.84278,0.63716,0.43141,0.90834,0.000924352,0.000924352,0.000924352
47,4720.61,0.72557,0.51763,0.96005,0.99292,1,0.995,0.84333,0.64315,0.42944,0.91547,0.000907848,0.000907848,0.000907848
48,4808.06,0.75104,0.54472,0.96805,0.99528,1,0.995,0.8529,0.61303,0.45536,0.89909,0.000891345,0.000891345,0.000891345
49,4892.6,0.68022,0.47822,0.92618,0.9938,1,0.995,0.86573,0.59446,0.42281,0.89924,0.000874842,0.000874842,0.000874842
50,4980.1,0.68432,0.48094,0.92713,0.99589,1,0.995,0.85561,0.6358,0.43015,0.95293,0.000858338,0.000858338,0.000858338
51,5066.73,0.65665,0.46996,0.91626,0.99118,1,0.995,0.84457,0.60342,0.43613,0.93622,0.000841835,0.000841835,0.000841835
52,5152.49,0.63321,0.44707,0.91824,0.99222,1,0.995,0.85155,0.61162,0.44372,0.91384,0.000825332,0.000825332,0.000825332
53,5237.24,0.65423,0.47415,0.92056,0.9938,1,0.995,0.84406,0.68157,0.43411,0.93173,0.000808828,0.000808828,0.000808828
54,5323.51,0.65651,0.45799,0.91395,0.99455,1,0.995,0.84799,0.6813,0.42949,0.93564,0.000792325,0.000792325,0.000792325
55,5411.12,0.67064,0.46534,0.93038,0.99434,1,0.995,0.84048,0.65846,0.4461,0.91577,0.000775822,0.000775822,0.000775822
56,5495.8,0.63081,0.44105,0.92115,0.99326,1,0.995,0.84826,0.58221,0.42985,0.9036,0.000759318,0.000759318,0.000759318
57,5584.16,0.66216,0.45853,0.93014,0.99671,1,0.995,0.876,0.5832,0.40394,0.89881,0.000742815,0.000742815,0.000742815
58,5672.12,0.621,0.42778,0.90098,0.99667,1,0.995,0.86235,0.57107,0.38081,0.90085,0.000726312,0.000726312,0.000726312
59,5756.15,0.62391,0.41853,0.89889,0.99492,1,0.995,0.86421,0.57637,0.39207,0.90201,0.000709809,0.000709809,0.000709809
60,5841.52,0.62288,0.43874,0.91626,0.99539,1,0.995,0.84625,0.61481,0.41338,0.94086,0.000693305,0.000693305,0.000693305
61,5923.1,0.62081,0.43189,0.90593,0.99472,1,0.995,0.86545,0.57696,0.40431,0.91726,0.000676802,0.000676802,0.000676802
62,6005.57,0.64558,0.43715,0.92808,0.99165,1,0.995,0.85731,0.58194,0.40176,0.91563,0.000660299,0.000660299,0.000660299
63,6087.85,0.60278,0.41832,0.8902,0.99284,1,0.995,0.87786,0.54474,0.39374,0.9101,0.000643795,0.000643795,0.000643795
64,6170.14,0.5928,0.42444,0.90245,0.9953,1,0.995,0.84751,0.64993,0.40396,0.94564,0.000627292,0.000627292,0.000627292
65,6251.41,0.62929,0.42628,0.91658,0.99567,1,0.995,0.8639,0.60871,0.40455,0.91378,0.000610789,0.000610789,0.000610789
66,6334.93,0.59669,0.41179,0.90637,0.99543,1,0.995,0.87328,0.58245,0.37606,0.94079,0.000594286,0.000594286,0.000594286
67,6418.82,0.58166,0.40071,0.88493,0.99518,1,0.995,0.88182,0.58781,0.38289,0.94268,0.000577782,0.000577782,0.000577782
68,6500.18,0.60876,0.41687,0.90274,0.99549,1,0.995,0.86422,0.61814,0.3963,0.91734,0.000561279,0.000561279,0.000561279
69,6580.22,0.60063,0.42661,0.90466,0.99509,1,0.995,0.86594,0.58965,0.39692,0.90444,0.000544776,0.000544776,0.000544776
70,6658.95,0.59029,0.39178,0.89191,0.99386,1,0.995,0.85754,0.58695,0.40023,0.89797,0.000528272,0.000528272,0.000528272
71,6737.48,0.57944,0.39783,0.88338,0.99405,1,0.995,0.87855,0.58707,0.38521,0.89213,0.000511769,0.000511769,0.000511769
72,6820.47,0.57648,0.40249,0.88888,0.99679,1,0.995,0.87928,0.55747,0.36539,0.88749,0.000495266,0.000495266,0.000495266
73,6903.8,0.55934,0.39205,0.88444,0.99672,1,0.995,0.86205,0.58415,0.37037,0.89904,0.000478762,0.000478762,0.000478762
74,6986.72,0.60379,0.39766,0.90676,0.99579,1,0.995,0.86908,0.5937,0.37025,0.91807,0.000462259,0.000462259,0.000462259
75,7069.86,0.57968,0.3891,0.90145,0.99574,1,0.995,0.85511,0.65296,0.36745,0.95968,0.000445756,0.000445756,0.000445756
76,7152.26,0.57616,0.38642,0.89947,0.99587,1,0.995,0.85628,0.60557,0.36467,0.9371,0.000429253,0.000429253,0.000429253
77,7236.73,0.55216,0.39496,0.88851,0.99536,1,0.995,0.85003,0.60805,0.37131,0.93471,0.000412749,0.000412749,0.000412749
78,7320.97,0.54674,0.38068,0.89027,0.99561,1,0.995,0.86686,0.59141,0.39202,0.91531,0.000396246,0.000396246,0.000396246
