epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7177,0.85984,2.48143,1.27544,0.69177,0.74786,0.75164,0.63421,0.68567,1.06996,1.1777,0.000195446,0.000195446,0.000195446
2,190.116,0.76965,1.42051,1.18596,0.76862,0.7765,0.78708,0.63432,0.76188,1.00449,1.20783,0.000387571,0.000387571,0.000387571
3,284.648,0.78288,1.22785,1.18874,0.72237,0.83638,0.8232,0.69623,0.69972,0.91718,1.17689,0.000575815,0.000575815,0.000575815
4,384.843,0.7575,1.05228,1.17174,0.81933,0.8326,0.82149,0.68373,0.70204,0.81832,1.15863,0.000570536,0.000570536,0.000570536
5,494.465,0.72852,0.94363,1.15408,0.83914,0.82703,0.83992,0.71111,0.68282,0.75106,1.15226,0.000564715,0.000564715,0.000564715
6,610.783,0.69536,0.84435,1.13239,0.82044,0.8547,0.84813,0.73345,0.65829,0.74962,1.12182,0.000558894,0.000558894,0.000558894
7,732.006,0.68375,0.79971,1.1256,0.85727,0.81988,0.8346,0.72364,0.64603,0.73181,1.12148,0.000553073,0.000553073,0.000553073
8,853.201,0.66998,0.7666,1.11754,0.87792,0.84584,0.85253,0.74827,0.61484,0.65117,1.08227,0.000547252,0.000547252,0.000547252
9,974.545,0.65611,0.72651,1.10716,0.8858,0.85197,0.87062,0.75258,0.63309,0.6551,1.12054,0.00054143,0.00054143,0.00054143
10,1096.06,0.63429,0.70378,1.10152,0.881,0.85573,0.87622,0.76872,0.57178,0.62718,1.0568,0.000535609,0.000535609,0.000535609
11,1221.67,0.63183,0.67507,1.08965,0.88928,0.86814,0.87084,0.77571,0.56796,0.57971,1.05808,0.000529788,0.000529788,0.000529788
12,1352.62,0.6286,0.66991,1.09139,0.89233,0.84959,0.86526,0.74755,0.64015,0.61591,1.11119,0.000523967,0.000523967,0.000523967
13,1481.24,0.61704,0.64893,1.08363,0.89591,0.84875,0.86316,0.76843,0.57378,0.57209,1.06135,0.000518146,0.000518146,0.000518146
14,1616.11,0.61319,0.64554,1.08474,0.89992,0.85152,0.88058,0.78045,0.55414,0.54607,1.04088,0.000512324,0.000512324,0.000512324
15,1759.01,0.59609,0.62146,1.06722,0.88985,0.86083,0.86868,0.7766,0.55227,0.55169,1.0367,0.000506503,0.000506503,0.000506503
16,1887.52,0.60287,0.61642,1.07188,0.90465,0.86793,0.8844,0.79133,0.55214,0.53273,1.03825,0.000500682,0.000500682,0.000500682
17,2034.48,0.58345,0.60426,1.06544,0.88962,0.83327,0.87333,0.77987,0.56694,0.57473,1.05388,0.000494861,0.000494861,0.000494861
18,2178.16,0.57722,0.58628,1.05672,0.91415,0.86619,0.87761,0.77893,0.54281,0.51912,1.0289,0.00048904,0.00048904,0.00048904
19,2320.26,0.57343,0.58155,1.05829,0.90382,0.867,0.88905,0.79935,0.51613,0.50516,1.01247,0.000483218,0.000483218,0.000483218
20,2460.3,0.57213,0.56114,1.05211,0.88589,0.87528,0.88508,0.79001,0.54401,0.51049,1.04234,0.000477397,0.000477397,0.000477397
21,2615.56,0.57241,0.56686,1.05403,0.90969,0.87242,0.89079,0.80563,0.51622,0.48209,1.01179,0.000471576,0.000471576,0.000471576
